gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,heraldkills,oppheraldkills,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Red,Support,Ming,Royal Never Give Up,Leona,Akali,Aphelios,Qiyana,Gragas,Gangplank,36.03333333,0,0,3,4,7,18, , , , , ,, , ,0,0.055504163,0.693802035, ,,3,3,,,,,,,,,,,,,,,1,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,1,Red,Top,Langx,Royal Never Give Up,Mordekaiser,Akali,Aphelios,Qiyana,Gragas,Gangplank,36.03333333,0,4,5,2,7,18, , , , , ,, , ,0.111008326,0.166512488,0.693802035, ,,3,3,,,,,,,,,,,,,,,1,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,100,Blue,Team,Team,Bilibili Gaming, ,Rakan,Lucian,Elise,LeBlanc,Zoe,36.03333333,1,18,7,52,18,7, , , , , ,, , ,0.499537465,0.19426457,0.693802035, ,,3,3,,,,,,,,,,,,,,,9,1,,,,,,, , ,,,,,,,, , ,63276,,,,,,,,,,,,,,,,,,,,,,,
2020-113Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,3,10.01,200,Red,Team,Team,Royal Never Give Up, ,Akali,Aphelios,Qiyana,Gragas,Gangplank,36.03333333,0,7,18,13,7,18, , , , , ,, , ,0.19426457,0.499537465,0.693802035, ,,3,3,,,,,,,,,,,,,,,1,9,,,,,,, , ,,,,,,,, , ,54504,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Blue,ADC,Hope,Edward Gaming,Senna,Gragas,Lucian,Qiyana,Gangplank,Rumble,30.68333333,1,5,0,10,18,4, , , , , ,, , ,0.162954916,0,0.71700163, ,,4,0,,,,,,,,,,,,,,,9,2,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Blue,Jungle,Jiejie,Edward Gaming,Lee Sin,Gragas,Lucian,Qiyana,Gangplank,Rumble,30.68333333,1,2,1,8,18,4, , , , , ,, , ,0.065181966,0.097772949,0.71700163, ,,4,0,,,,,,,,,,,,,,,9,2,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Blue,Middle,Scout,Edward Gaming,Diana,Gragas,Lucian,Qiyana,Gangplank,Rumble,30.68333333,1,6,1,4,18,4, , , , , ,, , ,0.195545899,0,0.71700163, ,,4,0,,,,,,,,,,,,,,,9,2,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Blue,Support,meiko,Edward Gaming,Leona,Gragas,Lucian,Qiyana,Gangplank,Rumble,30.68333333,1,1,2,8,18,4, , , , , ,, , ,0.032590983,0,0.71700163, ,,4,0,,,,,,,,,,,,,,,9,2,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Blue,Top,Jinoo,Edward Gaming,Aatrox,Gragas,Lucian,Qiyana,Gangplank,Rumble,30.68333333,1,4,0,10,18,4, , , , , ,, , ,0.130363933,0.032590983,0.71700163, ,,4,0,,,,,,,,,,,,,,,9,2,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Red,ADC,Photic,Top Esports,Miss Fortune,Akali,Renekton,Elise,LeBlanc,Ornn,30.68333333,0,0,4,4,4,18, , , , , ,, , ,0,0.162954916,0.71700163, ,,0,4,,,,,,,,,,,,,,,2,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Red,Jungle,Karsa,Top Esports,Jarvan IV,Akali,Renekton,Elise,LeBlanc,Ornn,30.68333333,0,3,3,1,4,18, , , , , ,, , ,0.097772949,0.065181966,0.71700163, ,,0,4,,,,,,,,,,,,,,,2,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Red,Middle,Knight,Top Esports,Zoe,Akali,Renekton,Elise,LeBlanc,Ornn,30.68333333,0,0,3,2,4,18, , , , , ,, , ,0,0.195545899,0.71700163, ,,0,4,,,,,,,,,,,,,,,2,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Red,Support,Qiuqiu,Top Esports,Nautilus,Akali,Renekton,Elise,LeBlanc,Ornn,30.68333333,0,0,5,4,4,18, , , , , ,, , ,0,0.032590983,0.71700163, ,,0,4,,,,,,,,,,,,,,,2,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,1,Red,Top,369,Top Esports,Jax,Akali,Renekton,Elise,LeBlanc,Ornn,30.68333333,0,1,3,3,4,18, , , , , ,, , ,0.032590983,0.130363933,0.71700163, ,,0,4,,,,,,,,,,,,,,,2,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,100,Blue,Team,Team,Edward Gaming, ,Gragas,Lucian,Qiyana,Gangplank,Rumble,30.68333333,1,18,4,40,18,4, , , , , ,, , ,0.586637697,0.130363933,0.71700163, ,,4,0,,,,,,,,,,,,,,,9,2,,,,,,, , ,,,,,,,, , ,56475,,,,,,,,,,,,,,,,,,,,,,,
2020-111Edward GamingTop Esports,,LPL,2020-1, ,1,1,10.01,200,Red,Team,Team,Top Esports, ,Akali,Renekton,Elise,LeBlanc,Ornn,30.68333333,0,4,18,14,4,18, , , , , ,, , ,0.130363933,0.586637697,0.71700163, ,,0,4,,,,,,,,,,,,,,,2,9,,,,,,, , ,,,,,,,, , ,46226,,,,,,,,,,,,,,,,,,,,,,,
2020-112Top EsportsEdward Gaming,,LPL,2020-1, ,1,2,10.01,1,Blue,ADC,Photic,Top Esports,Senna,Renekton,Miss Fortune,Aphelios,LeBlanc,Rumble,27.61666667,1,3,1,9,14,4, , , , , ,, , ,0.108630054,0.072420036,0.651780326, ,,3,1,,,,,,,,,,,,,,,10,2,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Top EsportsEdward Gaming,,LPL,2020-1, ,1,2,10.01,1,Blue,Jungle,Karsa,Top Esports,Rek'Sai,Renekton,Miss Fortune,Aphelios,LeBlanc,Rumble,27.61666667,1,3,1,9,14,4, , , , , ,, , ,0.108630054,0.072420036,0.651780326, ,,3,1,,,,,,,,,,,,,,,10,2,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Top EsportsEdward Gaming,,LPL,2020-1, ,1,2,10.01,1,Blue,Middle,Knight,Top Esports,Orianna,Renekton,Miss Fortune,Aphelios,LeBlanc,Rumble,27.61666667,1,4,1,9,14,4, , , , , ,, , ,0.144840072,0,0.651780326, ,,3,1,,,,,,,,,,,,,,,10,2,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
