gameid,date,league,split,side,week,side,position,player,team,gamelength,result,k,d,a,teamkills,teamdeaths,cs,fpts
1130786,43621.22955,LCK,2019-2,Blue,1.1,Blue,Team,Team,Gen.G,33.55,0,5,13,16,5,13,1177,5.0
1130786,43621.22955,LCK,2019-2,Red,1.1,Red,Team,Team,Damwon Gaming,33.55,1,13,5,37,13,5,1218,24.0
1130806,43621.2827,LCK,2019-2,Blue,1.1,Blue,Top,Nuguri,Damwon Gaming,33.6,0,1,3,1,4,16,318,8.36
1130806,43621.2827,LCK,2019-2,Blue,1.1,Blue,Jungle,Canyon,Damwon Gaming,33.6,0,3,4,0,4,16,163,8.26
1130806,43621.2827,LCK,2019-2,Blue,1.1,Blue,Middle,ShowMaker,Damwon Gaming,33.6,0,0,1,2,4,16,303,9.06
1130806,43621.2827,LCK,2019-2,Blue,1.1,Blue,ADC,Nuclear,Damwon Gaming,33.6,0,0,3,1,4,16,369,6.38
1130806,43621.2827,LCK,2019-2,Blue,1.1,Blue,Support,BeryL,Damwon Gaming,33.6,0,0,5,1,4,16,80,-1.4
1130806,43621.2827,LCK,2019-2,Red,1.1,Red,Top,CuVee,Gen.G,33.6,1,3,2,8,16,4,294,28.88
1130806,43621.2827,LCK,2019-2,Red,1.1,Red,Jungle,Peanut,Gen.G,33.6,1,4,0,9,16,4,206,34.12
1130806,43621.2827,LCK,2019-2,Red,1.1,Red,Middle,Kuzan,Gen.G,33.6,1,2,1,10,16,4,288,30.76
1130806,43621.2827,LCK,2019-2,Red,1.1,Red,ADC,Ruler,Gen.G,33.6,1,6,1,8,16,4,365,40.3
1130806,43621.2827,LCK,2019-2,Red,1.1,Red,Support,Life,Gen.G,33.6,1,1,0,15,16,4,67,36.34
1130806,43621.2827,LCK,2019-2,Blue,1.1,Blue,Team,Team,Damwon Gaming,33.6,0,4,16,5,4,16,1233,10.0
1130806,43621.2827,LCK,2019-2,Red,1.1,Red,Team,Team,Gen.G,33.6,1,16,4,50,16,4,1220,18.0
1140917,43621.32098,LCK,2019-2,Blue,1.1,Blue,Top,CuVee,Gen.G,35.36666667,1,5,1,4,16,8,348,28.96
1140917,43621.32098,LCK,2019-2,Blue,1.1,Blue,Jungle,Peanut,Gen.G,35.36666667,1,3,2,8,16,8,156,26.12
1140917,43621.32098,LCK,2019-2,Blue,1.1,Blue,Middle,Kuzan,Gen.G,35.36666667,1,1,3,7,16,8,314,20.28
1140917,43621.32098,LCK,2019-2,Blue,1.1,Blue,ADC,Ruler,Gen.G,35.36666667,1,7,0,0,16,8,428,29.56
1140917,43621.32098,LCK,2019-2,Blue,1.1,Blue,Support,Life,Gen.G,35.36666667,1,0,2,8,16,8,26,14.52
1140917,43621.32098,LCK,2019-2,Red,1.1,Red,Top,Nuguri,Damwon Gaming,35.36666667,0,3,3,3,8,16,333,18.66
1140917,43621.32098,LCK,2019-2,Red,1.1,Red,Jungle,Canyon,Damwon Gaming,35.36666667,0,1,4,3,8,16,186,8.72
1140917,43621.32098,LCK,2019-2,Red,1.1,Red,Middle,ShowMaker,Damwon Gaming,35.36666667,0,2,2,3,8,16,361,17.22
1140917,43621.32098,LCK,2019-2,Red,1.1,Red,ADC,Nuclear,Damwon Gaming,35.36666667,0,2,3,2,8,16,361,14.22
